age,education,maritalstatus,occupation,hoursperweek,income
40,Some-college,Married-civ-spouse,Machine-op-inspct,40,<=50K
47,5th-6th,Married-civ-spouse,Sales,50,<=50K
41,HS-grad,Married-civ-spouse,Handlers-cleaners,40,<=50K
34,Some-college,Married-civ-spouse,Transport-moving,40,<=50K
68,Assoc-voc,Married-civ-spouse,Prof-specialty,40,<=50K
74,HS-grad,Married-civ-spouse,Sales,20,<=50K
19,11th,Married-civ-spouse,Craft-repair,55,<=50K
37,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
45,Assoc-acdm,Divorced,Adm-clerical,40,<=50K
64,Masters,Married-civ-spouse,Prof-specialty,60,<=50K
30,HS-grad,Married-civ-spouse,Transport-moving,40,<=50K
51,Some-college,Married-civ-spouse,Prof-specialty,60,<=50K
35,11th,Married-civ-spouse,Craft-repair,40,<=50K
29,HS-grad,Married-civ-spouse,Adm-clerical,20,<=50K
34,Some-college,Married-civ-spouse,Adm-clerical,40,<=50K
41,HS-grad,Married-civ-spouse,Craft-repair,60,<=50K
35,Some-college,Married-civ-spouse,Craft-repair,45,<=50K
26,Some-college,Married-civ-spouse,Adm-clerical,40,<=50K
54,HS-grad,Married-civ-spouse,Transport-moving,50,<=50K
52,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
50,HS-grad,Married-civ-spouse,Farming-fishing,20,<=50K
31,Some-college,Married-civ-spouse,Adm-clerical,40,<=50K
38,HS-grad,Married-civ-spouse,Transport-moving,40,<=50K
30,Some-college,Married-civ-spouse,Craft-repair,40,<=50K
34,Bachelors,Married-civ-spouse,Prof-specialty,40,<=50K
31,Some-college,Married-civ-spouse,Sales,57,<=50K
52,HS-grad,Married-civ-spouse,Machine-op-inspct,38,<=50K
54,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
38,HS-grad,Married-civ-spouse,Craft-repair,44,<=50K
39,HS-grad,Married-civ-spouse,Machine-op-inspct,40,<=50K
29,Assoc-voc,Married-civ-spouse,Tech-support,40,<=50K
45,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
34,HS-grad,Married-civ-spouse,Transport-moving,55,<=50K
38,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
39,10th,Married-civ-spouse,Craft-repair,40,<=50K
61,HS-grad,Married-civ-spouse,Craft-repair,20,<=50K
43,11th,Married-civ-spouse,Transport-moving,40,<=50K
35,Some-college,Married-civ-spouse,Handlers-cleaners,40,<=50K
46,Some-college,Married-civ-spouse,Sales,50,<=50K
38,HS-grad,Married-civ-spouse,Handlers-cleaners,40,<=50K
42,HS-grad,Married-civ-spouse,Craft-repair,48,<=50K
34,Assoc-acdm,Married-civ-spouse,Tech-support,10,<=50K
29,7th-8th,Married-civ-spouse,Farming-fishing,40,<=50K
32,11th,Married-civ-spouse,Craft-repair,30,<=50K
60,HS-grad,Married-civ-spouse,Protective-serv,34,<=50K
49,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
53,HS-grad,Married-civ-spouse,Other-service,45,<=50K
56,7th-8th,Married-civ-spouse,Handlers-cleaners,40,<=50K
48,11th,Married-civ-spouse,Transport-moving,40,<=50K
32,Bachelors,Married-civ-spouse,Prof-specialty,40,<=50K
42,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
32,Assoc-acdm,Married-civ-spouse,Prof-specialty,42,<=50K
28,Assoc-acdm,Married-civ-spouse,Protective-serv,40,<=50K
26,Assoc-voc,Married-civ-spouse,Craft-repair,40,<=50K
59,Bachelors,Married-civ-spouse,Exec-managerial,50,<=50K
47,Bachelors,Married-civ-spouse,Prof-specialty,30,<=50K
41,HS-grad,Married-civ-spouse,Craft-repair,60,<=50K
36,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
45,Bachelors,Married-civ-spouse,Sales,55,<=50K
30,Assoc-acdm,Married-civ-spouse,Prof-specialty,40,<=50K
36,HS-grad,Married-civ-spouse,Transport-moving,40,<=50K
34,HS-grad,Married-civ-spouse,Exec-managerial,40,<=50K
53,HS-grad,Married-civ-spouse,Transport-moving,40,<=50K
51,HS-grad,Married-civ-spouse,Sales,45,<=50K
47,Doctorate,Married-civ-spouse,Transport-moving,45,<=50K
30,HS-grad,Never-married,Adm-clerical,42,<=50K
20,HS-grad,Never-married,Other-service,40,<=50K
42,Masters,Divorced,Adm-clerical,60,<=50K
31,11th,Never-married,Craft-repair,40,<=50K
33,Bachelors,Never-married,Handlers-cleaners,40,<=50K
25,Assoc-acdm,Never-married,Tech-support,30,<=50K
20,HS-grad,Never-married,Other-service,40,<=50K
23,HS-grad,Never-married,Adm-clerical,40,<=50K
41,Some-college,Divorced,Craft-repair,50,<=50K
54,HS-grad,Widowed,Craft-repair,35,<=50K
25,HS-grad,Never-married,Craft-repair,50,<=50K
19,Some-college,Never-married,Adm-clerical,40,<=50K
24,HS-grad,Never-married,Adm-clerical,37,<=50K
56,Bachelors,Never-married,Transport-moving,65,<=50K
21,Some-college,Never-married,Other-service,40,<=50K
34,HS-grad,Never-married,Machine-op-inspct,40,<=50K
19,HS-grad,Never-married,Adm-clerical,40,<=50K
48,HS-grad,Separated,Adm-clerical,40,<=50K
34,Bachelors,Never-married,Other-service,40,<=50K
31,HS-grad,Never-married,Farming-fishing,40,<=50K
36,HS-grad,Never-married,Other-service,40,<=50K
27,HS-grad,Never-married,Other-service,40,<=50K
27,Some-college,Never-married,Craft-repair,40,<=50K
35,Bachelors,Divorced,Sales,65,<=50K
31,Bachelors,Married-spouse-absent,Exec-managerial,60,<=50K
27,HS-grad,Never-married,Craft-repair,40,<=50K
28,Assoc-acdm,Never-married,Adm-clerical,40,<=50K
42,HS-grad,Divorced,Transport-moving,46,<=50K
44,Some-college,Separated,Exec-managerial,45,<=50K
41,Bachelors,Divorced,Sales,56,<=50K
28,Bachelors,Never-married,Tech-support,35,<=50K
41,HS-grad,Never-married,Adm-clerical,40,<=50K
35,10th,Widowed,Other-service,40,<=50K
58,Masters,Divorced,Adm-clerical,45,<=50K
40,HS-grad,Divorced,Machine-op-inspct,48,<=50K
31,Assoc-voc,Never-married,Transport-moving,60,<=50K
30,HS-grad,Never-married,Sales,40,<=50K
32,Some-college,Separated,Tech-support,40,<=50K
25,Some-college,Never-married,Adm-clerical,40,<=50K
34,HS-grad,Never-married,Transport-moving,40,<=50K
56,Some-college,Divorced,Exec-managerial,40,<=50K
45,HS-grad,Divorced,Other-service,40,<=50K
50,HS-grad,Never-married,Adm-clerical,40,<=50K
27,10th,Never-married,Sales,40,<=50K
39,Masters,Never-married,Exec-managerial,40,<=50K
21,Some-college,Never-married,Prof-specialty,40,<=50K
23,Some-college,Never-married,Sales,40,<=50K
47,HS-grad,Divorced,Exec-managerial,40,<=50K
30,HS-grad,Never-married,Adm-clerical,40,<=50K
35,Some-college,Never-married,Machine-op-inspct,40,<=50K
26,Some-college,Never-married,Adm-clerical,40,<=50K
26,Bachelors,Never-married,Exec-managerial,55,<=50K
41,Masters,Divorced,Prof-specialty,40,<=50K
30,Some-college,Never-married,Protective-serv,40,<=50K
28,HS-grad,Separated,Craft-repair,40,<=50K
56,HS-grad,Widowed,Sales,40,<=50K
35,HS-grad,Never-married,Machine-op-inspct,40,<=50K
34,Assoc-voc,Never-married,Tech-support,40,<=50K
29,HS-grad,Never-married,Craft-repair,35,<=50K
23,Assoc-acdm,Never-married,Adm-clerical,20,<=50K
24,HS-grad,Never-married,Adm-clerical,40,<=50K
62,Some-college,Divorced,Adm-clerical,40,<=50K
77,Some-college,Widowed,Adm-clerical,1,<=50K
46,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
23,Some-college,Married-civ-spouse,Machine-op-inspct,40,<=50K
30,HS-grad,Married-civ-spouse,Adm-clerical,40,<=50K
28,Masters,Married-civ-spouse,Prof-specialty,55,<=50K
46,5th-6th,Married-civ-spouse,Transport-moving,40,<=50K
22,Some-college,Married-civ-spouse,Sales,37,<=50K
51,Bachelors,Married-civ-spouse,Exec-managerial,40,<=50K
48,7th-8th,Married-civ-spouse,Transport-moving,40,<=50K
37,HS-grad,Married-civ-spouse,Craft-repair,50,<=50K
58,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
49,HS-grad,Married-civ-spouse,Machine-op-inspct,40,<=50K
57,Assoc-voc,Married-civ-spouse,Prof-specialty,45,<=50K
27,HS-grad,Married-civ-spouse,Transport-moving,45,<=50K
26,Masters,Never-married,Prof-specialty,40,<=50K
52,HS-grad,Never-married,Sales,50,<=50K
61,5th-6th,Divorced,Transport-moving,56,<=50K
28,HS-grad,Never-married,Protective-serv,40,<=50K
42,Masters,Divorced,Prof-specialty,40,<=50K
44,Masters,Never-married,Prof-specialty,42,<=50K
51,HS-grad,Separated,Machine-op-inspct,40,<=50K
39,HS-grad,Divorced,Craft-repair,40,<=50K
36,Bachelors,Divorced,Prof-specialty,44,<=50K
45,Some-college,Divorced,Exec-managerial,50,<=50K
27,Bachelors,Never-married,Exec-managerial,40,<=50K
40,Masters,Never-married,Adm-clerical,35,<=50K
25,Bachelors,Never-married,Sales,40,<=50K
47,HS-grad,Divorced,Sales,40,<=50K
32,Bachelors,Never-married,Prof-specialty,50,<=50K
53,HS-grad,Separated,Adm-clerical,38,<=50K
32,Some-college,Never-married,Sales,60,<=50K
49,HS-grad,Divorced,Craft-repair,40,<=50K
27,Assoc-voc,Never-married,Prof-specialty,36,<=50K
26,Bachelors,Never-married,Exec-managerial,38,<=50K
60,HS-grad,Separated,Other-service,50,<=50K
56,Masters,Divorced,Sales,60,<=50K
58,Assoc-acdm,Divorced,Adm-clerical,40,<=50K
39,Bachelors,Never-married,Sales,50,<=50K
53,Masters,Divorced,Prof-specialty,38,<=50K
27,Some-college,Never-married,Craft-repair,45,<=50K
46,Masters,Divorced,Prof-specialty,60,<=50K
30,HS-grad,Never-married,Exec-managerial,45,<=50K
38,HS-grad,Never-married,Craft-repair,40,<=50K
41,Bachelors,Never-married,Prof-specialty,40,<=50K
27,HS-grad,Never-married,Transport-moving,75,<=50K
43,Bachelors,Divorced,Tech-support,40,<=50K
30,Bachelors,Never-married,Prof-specialty,40,<=50K
25,Bachelors,Never-married,Prof-specialty,40,<=50K
26,Bachelors,Divorced,Exec-managerial,38,<=50K
53,Bachelors,Divorced,Prof-specialty,54,<=50K
39,11th,Divorced,Craft-repair,46,<=50K
47,Some-college,Divorced,Prof-specialty,40,<=50K
44,Some-college,Separated,Craft-repair,55,<=50K
67,Some-college,Married-civ-spouse,Sales,70,<=50K
71,Some-college,Separated,Sales,2,<=50K
80,Some-college,Never-married,Prof-specialty,60,<=50K
24,HS-grad,Never-married,Other-service,40,<=50K
28,Some-college,Never-married,Transport-moving,40,<=50K
59,HS-grad,Divorced,Sales,30,<=50K
24,HS-grad,Never-married,Sales,32,<=50K
24,Some-college,Never-married,Sales,40,<=50K
52,HS-grad,Widowed,Sales,40,<=50K
39,Bachelors,Divorced,Adm-clerical,40,<=50K
43,HS-grad,Divorced,Other-service,35,<=50K
22,10th,Never-married,Sales,25,<=50K
30,Assoc-acdm,Divorced,Adm-clerical,40,<=50K
21,11th,Married-spouse-absent,Handlers-cleaners,40,<=50K
24,HS-grad,Divorced,Protective-serv,40,<=50K
21,Some-college,Never-married,Sales,28,<=50K
38,Some-college,Divorced,Craft-repair,40,<=50K
30,Bachelors,Never-married,Sales,48,<=50K
38,Bachelors,Never-married,Exec-managerial,40,<=50K
25,12th,Never-married,Machine-op-inspct,40,<=50K
34,Bachelors,Never-married,Exec-managerial,45,<=50K
24,Bachelors,Never-married,Prof-specialty,45,<=50K
25,Bachelors,Never-married,Prof-specialty,40,<=50K
31,Bachelors,Never-married,Exec-managerial,38,<=50K
39,Bachelors,Never-married,Adm-clerical,40,<=50K
35,HS-grad,Divorced,Transport-moving,60,<=50K
31,10th,Never-married,Transport-moving,40,<=50K
30,HS-grad,Never-married,Machine-op-inspct,42,<=50K
42,Masters,Never-married,Prof-specialty,35,<=50K
42,Some-college,Divorced,Exec-managerial,50,<=50K
41,Bachelors,Never-married,Prof-specialty,40,<=50K
46,HS-grad,Divorced,Craft-repair,40,<=50K
34,Bachelors,Never-married,Exec-managerial,40,<=50K
36,Bachelors,Divorced,Exec-managerial,40,<=50K
36,Bachelors,Never-married,Sales,40,<=50K
44,Assoc-acdm,Divorced,Adm-clerical,40,<=50K
28,HS-grad,Divorced,Other-service,52,<=50K
52,HS-grad,Divorced,Adm-clerical,38,<=50K
43,Bachelors,Never-married,Adm-clerical,40,<=50K
45,HS-grad,Married-civ-spouse,Machine-op-inspct,40,<=50K
30,Bachelors,Married-civ-spouse,Prof-specialty,45,<=50K
50,Some-college,Married-civ-spouse,Adm-clerical,48,<=50K
41,Bachelors,Married-civ-spouse,Prof-specialty,20,<=50K
31,Some-college,Married-civ-spouse,Adm-clerical,20,<=50K
27,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
63,Bachelors,Married-civ-spouse,Sales,35,<=50K
33,HS-grad,Married-civ-spouse,Adm-clerical,25,<=50K
28,HS-grad,Married-civ-spouse,Transport-moving,40,<=50K
34,Some-college,Married-civ-spouse,Craft-repair,40,<=50K
31,Assoc-voc,Married-civ-spouse,Craft-repair,40,<=50K
30,Prof-school,Married-civ-spouse,Prof-specialty,40,<=50K
47,Assoc-acdm,Married-civ-spouse,Protective-serv,40,<=50K
35,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
32,Some-college,Married-civ-spouse,Sales,47,<=50K
33,Some-college,Married-civ-spouse,Sales,50,<=50K
38,HS-grad,Married-civ-spouse,Craft-repair,48,<=50K
35,Some-college,Married-civ-spouse,Sales,40,<=50K
42,HS-grad,Married-civ-spouse,Transport-moving,43,<=50K
47,Bachelors,Married-civ-spouse,Craft-repair,40,<=50K
34,HS-grad,Married-civ-spouse,Other-service,35,<=50K
53,Some-college,Married-civ-spouse,Exec-managerial,40,<=50K
37,Assoc-acdm,Married-civ-spouse,Prof-specialty,45,<=50K
33,Some-college,Married-civ-spouse,Craft-repair,40,<=50K
38,Bachelors,Married-civ-spouse,Craft-repair,40,<=50K
52,Some-college,Married-civ-spouse,Exec-managerial,60,<=50K
35,Bachelors,Married-civ-spouse,Exec-managerial,80,<=50K
46,Masters,Married-civ-spouse,Adm-clerical,60,<=50K
28,HS-grad,Married-civ-spouse,Craft-repair,30,<=50K
58,Assoc-acdm,Married-civ-spouse,Craft-repair,40,<=50K
29,Bachelors,Married-civ-spouse,Exec-managerial,70,<=50K
30,Some-college,Married-civ-spouse,Craft-repair,40,<=50K
53,HS-grad,Married-civ-spouse,Transport-moving,50,<=50K
53,HS-grad,Married-civ-spouse,Other-service,40,<=50K
31,Assoc-acdm,Married-civ-spouse,Adm-clerical,40,<=50K
46,Some-college,Married-civ-spouse,Exec-managerial,40,<=50K
59,Assoc-voc,Married-civ-spouse,Sales,50,<=50K
62,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
46,HS-grad,Married-civ-spouse,Handlers-cleaners,35,<=50K
45,Some-college,Married-civ-spouse,Sales,50,<=50K
63,Some-college,Married-civ-spouse,Adm-clerical,40,<=50K
73,1st-4th,Married-civ-spouse,Transport-moving,20,<=50K
75,Some-college,Married-civ-spouse,Craft-repair,40,<=50K
45,Prof-school,Divorced,Prof-specialty,40,<=50K
39,HS-grad,Divorced,Machine-op-inspct,40,<=50K
32,Some-college,Divorced,Protective-serv,38,<=50K
25,Bachelors,Never-married,Exec-managerial,60,<=50K
24,9th,Never-married,Machine-op-inspct,40,<=50K
24,HS-grad,Never-married,Other-service,30,<=50K
31,11th,Divorced,Handlers-cleaners,40,<=50K
31,Some-college,Never-married,Other-service,16,<=50K
20,HS-grad,Never-married,Adm-clerical,30,<=50K
39,Some-college,Divorced,Other-service,55,<=50K
19,HS-grad,Never-married,Other-service,40,<=50K
18,HS-grad,Never-married,Sales,40,<=50K
18,Some-college,Never-married,Other-service,20,<=50K
19,Some-college,Never-married,Adm-clerical,30,<=50K
17,11th,Never-married,Other-service,15,<=50K
17,12th,Never-married,Other-service,25,<=50K
19,Some-college,Never-married,Sales,25,<=50K
21,Some-college,Never-married,Adm-clerical,35,<=50K
23,Some-college,Never-married,Adm-clerical,40,<=50K
39,10th,Married-spouse-absent,Other-service,15,<=50K
20,Some-college,Never-married,Adm-clerical,28,<=50K
20,Assoc-acdm,Never-married,Other-service,20,<=50K
21,HS-grad,Never-married,Other-service,16,<=50K
18,HS-grad,Never-married,Handlers-cleaners,15,<=50K
19,Some-college,Never-married,Tech-support,16,<=50K
22,Some-college,Never-married,Transport-moving,30,<=50K
26,Preschool,Married-spouse-absent,Machine-op-inspct,40,<=50K
19,HS-grad,Never-married,Other-service,40,<=50K
22,HS-grad,Married-spouse-absent,Sales,40,<=50K
37,Bachelors,Never-married,Machine-op-inspct,32,<=50K
47,9th,Divorced,Other-service,30,<=50K
57,HS-grad,Widowed,Other-service,25,<=50K
21,Some-college,Never-married,Craft-repair,30,<=50K
21,HS-grad,Never-married,Other-service,25,<=50K
25,HS-grad,Never-married,Farming-fishing,16,<=50K
23,Bachelors,Never-married,Machine-op-inspct,40,<=50K
17,9th,Never-married,Handlers-cleaners,15,<=50K
17,11th,Never-married,Handlers-cleaners,18,<=50K
20,Some-college,Never-married,Other-service,36,<=50K
21,Some-college,Never-married,Tech-support,9,<=50K
32,HS-grad,Married-civ-spouse,Exec-managerial,60,<=50K
50,HS-grad,Married-civ-spouse,Craft-repair,60,<=50K
31,Some-college,Married-civ-spouse,Other-service,50,<=50K
60,9th,Married-civ-spouse,Farming-fishing,84,<=50K
34,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
34,Assoc-voc,Married-civ-spouse,Machine-op-inspct,50,<=50K
45,HS-grad,Married-civ-spouse,Adm-clerical,40,<=50K
57,Some-college,Married-civ-spouse,Exec-managerial,45,<=50K
55,11th,Married-civ-spouse,Other-service,40,<=50K
61,Some-college,Married-civ-spouse,Exec-managerial,40,<=50K
51,Bachelors,Married-civ-spouse,Exec-managerial,70,<=50K
35,HS-grad,Married-civ-spouse,Farming-fishing,50,<=50K
29,Some-college,Married-civ-spouse,Craft-repair,40,<=50K
40,HS-grad,Married-civ-spouse,Exec-managerial,45,<=50K
46,HS-grad,Married-civ-spouse,Farming-fishing,50,<=50K
48,7th-8th,Married-civ-spouse,Transport-moving,55,<=50K
36,Bachelors,Married-civ-spouse,Prof-specialty,50,<=50K
46,HS-grad,Married-civ-spouse,Farming-fishing,50,<=50K
42,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
57,Some-college,Married-civ-spouse,Craft-repair,45,<=50K
43,Some-college,Married-civ-spouse,Other-service,44,<=50K
28,HS-grad,Married-civ-spouse,Machine-op-inspct,50,<=50K
49,HS-grad,Married-civ-spouse,Sales,44,<=50K
49,HS-grad,Married-civ-spouse,Farming-fishing,98,<=50K
33,HS-grad,Married-civ-spouse,Sales,55,<=50K
30,Some-college,Married-civ-spouse,Sales,45,<=50K
54,HS-grad,Married-civ-spouse,Sales,50,<=50K
56,Some-college,Married-civ-spouse,Exec-managerial,40,<=50K
36,Bachelors,Married-civ-spouse,Prof-specialty,38,<=50K
40,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
32,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
47,Assoc-acdm,Married-civ-spouse,Craft-repair,65,<=50K
40,Preschool,Married-civ-spouse,Other-service,40,<=50K
37,HS-grad,Married-civ-spouse,Transport-moving,60,<=50K
28,Assoc-voc,Never-married,Machine-op-inspct,42,<=50K
37,HS-grad,Divorced,Craft-repair,55,<=50K
48,Some-college,Widowed,Exec-managerial,38,<=50K
31,HS-grad,Divorced,Craft-repair,50,<=50K
26,Bachelors,Never-married,Exec-managerial,50,<=50K
23,HS-grad,Never-married,Sales,55,<=50K
49,HS-grad,Divorced,Craft-repair,40,<=50K
56,Masters,Divorced,Prof-specialty,40,<=50K
47,Assoc-voc,Divorced,Prof-specialty,40,<=50K
34,HS-grad,Never-married,Prof-specialty,45,<=50K
32,HS-grad,Never-married,Sales,45,<=50K
28,Some-college,Never-married,Exec-managerial,60,<=50K
38,Masters,Never-married,Prof-specialty,55,<=50K
34,HS-grad,Divorced,Sales,45,<=50K
36,Assoc-acdm,Never-married,Prof-specialty,45,<=50K
30,HS-grad,Never-married,Transport-moving,70,<=50K
26,Masters,Never-married,Prof-specialty,40,<=50K
40,Masters,Never-married,Prof-specialty,40,<=50K
56,Doctorate,Divorced,Prof-specialty,38,<=50K
44,Masters,Never-married,Prof-specialty,40,<=50K
33,Assoc-voc,Never-married,Adm-clerical,55,<=50K
53,Masters,Widowed,Prof-specialty,35,<=50K
61,HS-grad,Widowed,Craft-repair,50,<=50K
65,Prof-school,Divorced,Prof-specialty,40,<=50K
81,Bachelors,Widowed,Prof-specialty,3,<=50K
68,HS-grad,Widowed,Protective-serv,20,<=50K
39,9th,Married-civ-spouse,Exec-managerial,40,<=50K
61,7th-8th,Married-civ-spouse,Transport-moving,40,<=50K
61,7th-8th,Married-civ-spouse,Transport-moving,40,<=50K
46,7th-8th,Married-civ-spouse,Other-service,40,<=50K
56,12th,Married-civ-spouse,Exec-managerial,40,<=50K
30,11th,Married-civ-spouse,Handlers-cleaners,40,<=50K
35,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
34,Some-college,Married-civ-spouse,Craft-repair,38,<=50K
27,Some-college,Married-civ-spouse,Machine-op-inspct,40,<=50K
65,Masters,Married-civ-spouse,Prof-specialty,4,<=50K
74,Some-college,Married-civ-spouse,Prof-specialty,35,<=50K
26,5th-6th,Married-civ-spouse,Craft-repair,50,<=50K
62,Prof-school,Married-civ-spouse,Prof-specialty,70,<=50K
45,HS-grad,Married-civ-spouse,Handlers-cleaners,45,<=50K
28,HS-grad,Married-civ-spouse,Sales,40,<=50K
37,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
28,HS-grad,Married-civ-spouse,Sales,60,<=50K
46,Some-college,Married-civ-spouse,Machine-op-inspct,40,<=50K
39,HS-grad,Married-civ-spouse,Adm-clerical,40,<=50K
37,HS-grad,Married-civ-spouse,Craft-repair,40,<=50K
39,Assoc-voc,Married-civ-spouse,Craft-repair,48,<=50K
51,Assoc-acdm,Married-civ-spouse,Adm-clerical,30,<=50K
42,Some-college,Married-civ-spouse,Adm-clerical,40,<=50K
40,HS-grad,Married-civ-spouse,Craft-repair,45,<=50K
23,Some-college,Never-married,Adm-clerical,25,<=50K
43,Some-college,Divorced,Tech-support,72,<=50K
55,HS-grad,Divorced,Adm-clerical,40,<=50K
56,HS-grad,Divorced,Adm-clerical,40,<=50K
44,Bachelors,Never-married,Adm-clerical,20,<=50K
30,Some-college,Divorced,Machine-op-inspct,40,<=50K
36,Some-college,Never-married,Other-service,40,<=50K
62,Some-college,Separated,Sales,33,<=50K
33,HS-grad,Never-married,Adm-clerical,40,<=50K
19,Some-college,Never-married,Sales,10,<=50K
19,7th-8th,Never-married,Craft-repair,32,<=50K
19,Some-college,Never-married,Other-service,24,<=50K
26,HS-grad,Never-married,Priv-house-serv,15,<=50K
19,Some-college,Married-spouse-absent,Sales,40,<=50K
32,HS-grad,Never-married,Machine-op-inspct,20,<=50K
22,Some-college,Never-married,Other-service,10,<=50K
